id,name,research_interests,skills,publications,profile_text
100,Ritika Desai 100,Financial Fraud Detection using AI,"Data Analysis, Machine Learning, FastAPI",Bias detection in large language models,"Financial Fraud Detection using AI. Expertise in Data Analysis, Machine Learning, FastAPI. Published work on Bias detection in large language models."
101,Neha Joshi 101,Graph Neural Networks for Drug Discovery,"Transformers, LangChain, Deep Learning",Transformer models for medical text analysis,"Graph Neural Networks for Drug Discovery. Expertise in Transformers, LangChain, Deep Learning. Published work on Transformer models for medical text analysis."
102,Kunal Mehta 102,Explainable AI in Healthcare,"Scikit-Learn, Data Analysis, LangChain",RAG-based conversational AI framework,"Explainable AI in Healthcare. Expertise in Scikit-Learn, Data Analysis, LangChain. Published work on RAG-based conversational AI framework."
103,Rahul Khanna 103,Healthcare AI and Clinical Decision Systems,"FastAPI, Machine Learning, Python",AI-driven climate prediction models,"Healthcare AI and Clinical Decision Systems. Expertise in FastAPI, Machine Learning, Python. Published work on AI-driven climate prediction models."
104,Aarav Sharma 104,Computer Vision for Medical Imaging,"Scikit-Learn, LangChain, TensorFlow",Financial anomaly detection system,"Computer Vision for Medical Imaging. Expertise in Scikit-Learn, LangChain, TensorFlow. Published work on Financial anomaly detection system."
105,Ishita Rao 105,Natural Language Processing and Large Language Models,"Transformers, LangChain, Vector Databases",Bias detection in large language models,"Natural Language Processing and Large Language Models. Expertise in Transformers, LangChain, Vector Databases. Published work on Bias detection in large language models."
106,Rahul Khanna 106,Explainable AI in Healthcare,"Vector Databases, LangChain, Transformers",AI-driven climate prediction models,"Explainable AI in Healthcare. Expertise in Vector Databases, LangChain, Transformers. Published work on AI-driven climate prediction models."
107,Vivaan Malhotra 107,Computer Vision for Medical Imaging,"Deep Learning, Python, Machine Learning",Transformer models for medical text analysis,"Computer Vision for Medical Imaging. Expertise in Deep Learning, Python, Machine Learning. Published work on Transformer models for medical text analysis."
108,Diya Sethi 108,Graph Neural Networks for Drug Discovery,"Scikit-Learn, PyTorch, Python",Transformer models for medical text analysis,"Graph Neural Networks for Drug Discovery. Expertise in Scikit-Learn, PyTorch, Python. Published work on Transformer models for medical text analysis."
109,Sneha Kapoor 109,Graph Neural Networks for Drug Discovery,"Python, FastAPI, TensorFlow",Bias detection in large language models,"Graph Neural Networks for Drug Discovery. Expertise in Python, FastAPI, TensorFlow. Published work on Bias detection in large language models."
110,Kabir Verma 110,AI for Climate Change Modeling,"Scikit-Learn, PyTorch, FastAPI",Bias detection in large language models,"AI for Climate Change Modeling. Expertise in Scikit-Learn, PyTorch, FastAPI. Published work on Bias detection in large language models."
111,Rahul Khanna 111,Reinforcement Learning for Robotics,"Vector Databases, TensorFlow, FastAPI",Semantic search engine for academic research,"Reinforcement Learning for Robotics. Expertise in Vector Databases, TensorFlow, FastAPI. Published work on Semantic search engine for academic research."
112,Ananya Gupta 112,Healthcare AI and Clinical Decision Systems,"Transformers, PyTorch, FastAPI",Transformer models for medical text analysis,"Healthcare AI and Clinical Decision Systems. Expertise in Transformers, PyTorch, FastAPI. Published work on Transformer models for medical text analysis."
113,Priya Menon 113,Autonomous Systems and Self Driving Cars,"Scikit-Learn, LangChain, Data Analysis",Bias detection in large language models,"Autonomous Systems and Self Driving Cars. Expertise in Scikit-Learn, LangChain, Data Analysis. Published work on Bias detection in large language models."
114,Rohan Singh 114,Autonomous Systems and Self Driving Cars,"Data Analysis, Scikit-Learn, HuggingFace",CNN-based tumor detection system,"Autonomous Systems and Self Driving Cars. Expertise in Data Analysis, Scikit-Learn, HuggingFace. Published work on CNN-based tumor detection system."
115,Priya Menon 115,Autonomous Systems and Self Driving Cars,"PyTorch, FastAPI, Python",Explainable AI for clinical diagnostics,"Autonomous Systems and Self Driving Cars. Expertise in PyTorch, FastAPI, Python. Published work on Explainable AI for clinical diagnostics."
116,Ritika Desai 116,Explainable AI in Healthcare,"PyTorch, Machine Learning, Vector Databases",Transformer models for medical text analysis,"Explainable AI in Healthcare. Expertise in PyTorch, Machine Learning, Vector Databases. Published work on Transformer models for medical text analysis."
117,Ritika Desai 117,AI for Climate Change Modeling,"PyTorch, LangChain, Vector Databases",Financial anomaly detection system,"AI for Climate Change Modeling. Expertise in PyTorch, LangChain, Vector Databases. Published work on Financial anomaly detection system."
118,Kabir Verma 118,Cybersecurity using Machine Learning,"TensorFlow, Machine Learning, Transformers",Semantic search engine for academic research,"Cybersecurity using Machine Learning. Expertise in TensorFlow, Machine Learning, Transformers. Published work on Semantic search engine for academic research."
119,Neha Joshi 119,AI for Climate Change Modeling,"LangChain, FastAPI, Transformers",Explainable AI for clinical diagnostics,"AI for Climate Change Modeling. Expertise in LangChain, FastAPI, Transformers. Published work on Explainable AI for clinical diagnostics."
120,Sneha Kapoor 120,Computer Vision for Medical Imaging,"Transformers, Deep Learning, HuggingFace",Financial anomaly detection system,"Computer Vision for Medical Imaging. Expertise in Transformers, Deep Learning, HuggingFace. Published work on Financial anomaly detection system."
121,Kunal Mehta 121,Explainable AI in Healthcare,"Python, Deep Learning, Vector Databases",RAG-based conversational AI framework,"Explainable AI in Healthcare. Expertise in Python, Deep Learning, Vector Databases. Published work on RAG-based conversational AI framework."
122,Neha Joshi 122,Graph Neural Networks for Drug Discovery,"Vector Databases, Transformers, Data Analysis",Graph neural networks for drug discovery,"Graph Neural Networks for Drug Discovery. Expertise in Vector Databases, Transformers, Data Analysis. Published work on Graph neural networks for drug discovery."
123,Vivaan Malhotra 123,Financial Fraud Detection using AI,"Python, Machine Learning, HuggingFace",CNN-based tumor detection system,"Financial Fraud Detection using AI. Expertise in Python, Machine Learning, HuggingFace. Published work on CNN-based tumor detection system."
124,Sneha Kapoor 124,Cybersecurity using Machine Learning,"Deep Learning, Machine Learning, HuggingFace",Financial anomaly detection system,"Cybersecurity using Machine Learning. Expertise in Deep Learning, Machine Learning, HuggingFace. Published work on Financial anomaly detection system."
125,Neha Joshi 125,AI for Climate Change Modeling,"Python, PyTorch, Transformers",Bias detection in large language models,"AI for Climate Change Modeling. Expertise in Python, PyTorch, Transformers. Published work on Bias detection in large language models."
126,Kunal Mehta 126,Graph Neural Networks for Drug Discovery,"Transformers, Scikit-Learn, FastAPI",Explainable AI for clinical diagnostics,"Graph Neural Networks for Drug Discovery. Expertise in Transformers, Scikit-Learn, FastAPI. Published work on Explainable AI for clinical diagnostics."
127,Neha Joshi 127,Financial Fraud Detection using AI,"Machine Learning, Vector Databases, LangChain",Multi-agent reinforcement learning framework,"Financial Fraud Detection using AI. Expertise in Machine Learning, Vector Databases, LangChain. Published work on Multi-agent reinforcement learning framework."
128,Arjun Patel 128,Explainable AI in Healthcare,"Data Analysis, Deep Learning, Transformers",Graph neural networks for drug discovery,"Explainable AI in Healthcare. Expertise in Data Analysis, Deep Learning, Transformers. Published work on Graph neural networks for drug discovery."
129,Vivaan Malhotra 129,Graph Neural Networks for Drug Discovery,"PyTorch, HuggingFace, Vector Databases",CNN-based tumor detection system,"Graph Neural Networks for Drug Discovery. Expertise in PyTorch, HuggingFace, Vector Databases. Published work on CNN-based tumor detection system."
130,Ishita Rao 130,Graph Neural Networks for Drug Discovery,"HuggingFace, Deep Learning, Transformers",Semantic search engine for academic research,"Graph Neural Networks for Drug Discovery. Expertise in HuggingFace, Deep Learning, Transformers. Published work on Semantic search engine for academic research."
131,Priya Menon 131,Computer Vision for Medical Imaging,"HuggingFace, Transformers, Data Analysis",Explainable AI for clinical diagnostics,"Computer Vision for Medical Imaging. Expertise in HuggingFace, Transformers, Data Analysis. Published work on Explainable AI for clinical diagnostics."
132,Ishita Rao 132,Reinforcement Learning for Robotics,"Python, Machine Learning, TensorFlow",Graph neural networks for drug discovery,"Reinforcement Learning for Robotics. Expertise in Python, Machine Learning, TensorFlow. Published work on Graph neural networks for drug discovery."
133,Meera Iyer 133,Natural Language Processing and Large Language Models,"Machine Learning, Transformers, TensorFlow",Financial anomaly detection system,"Natural Language Processing and Large Language Models. Expertise in Machine Learning, Transformers, TensorFlow. Published work on Financial anomaly detection system."
134,Ananya Gupta 134,Natural Language Processing and Large Language Models,"FastAPI, Transformers, Deep Learning",Financial anomaly detection system,"Natural Language Processing and Large Language Models. Expertise in FastAPI, Transformers, Deep Learning. Published work on Financial anomaly detection system."
135,Rahul Khanna 135,Explainable AI in Healthcare,"TensorFlow, Python, Transformers",Financial anomaly detection system,"Explainable AI in Healthcare. Expertise in TensorFlow, Python, Transformers. Published work on Financial anomaly detection system."
136,Ananya Gupta 136,Computer Vision for Medical Imaging,"LangChain, Deep Learning, PyTorch",Semantic search engine for academic research,"Computer Vision for Medical Imaging. Expertise in LangChain, Deep Learning, PyTorch. Published work on Semantic search engine for academic research."
137,Meera Iyer 137,Healthcare AI and Clinical Decision Systems,"TensorFlow, FastAPI, Transformers",CNN-based tumor detection system,"Healthcare AI and Clinical Decision Systems. Expertise in TensorFlow, FastAPI, Transformers. Published work on CNN-based tumor detection system."
138,Sneha Kapoor 138,Computer Vision for Medical Imaging,"Machine Learning, LangChain, FastAPI",Semantic search engine for academic research,"Computer Vision for Medical Imaging. Expertise in Machine Learning, LangChain, FastAPI. Published work on Semantic search engine for academic research."
139,Sneha Kapoor 139,Financial Fraud Detection using AI,"LangChain, Deep Learning, Scikit-Learn",Graph neural networks for drug discovery,"Financial Fraud Detection using AI. Expertise in LangChain, Deep Learning, Scikit-Learn. Published work on Graph neural networks for drug discovery."
140,Ritika Desai 140,Reinforcement Learning for Robotics,"FastAPI, Data Analysis, Python",Semantic search engine for academic research,"Reinforcement Learning for Robotics. Expertise in FastAPI, Data Analysis, Python. Published work on Semantic search engine for academic research."
141,Ananya Gupta 141,Graph Neural Networks for Drug Discovery,"Scikit-Learn, HuggingFace, Transformers",CNN-based tumor detection system,"Graph Neural Networks for Drug Discovery. Expertise in Scikit-Learn, HuggingFace, Transformers. Published work on CNN-based tumor detection system."
142,Ishita Rao 142,Graph Neural Networks for Drug Discovery,"TensorFlow, Machine Learning, PyTorch",RAG-based conversational AI framework,"Graph Neural Networks for Drug Discovery. Expertise in TensorFlow, Machine Learning, PyTorch. Published work on RAG-based conversational AI framework."
143,Aarav Sharma 143,Cybersecurity using Machine Learning,"Deep Learning, FastAPI, Data Analysis",Graph neural networks for drug discovery,"Cybersecurity using Machine Learning. Expertise in Deep Learning, FastAPI, Data Analysis. Published work on Graph neural networks for drug discovery."
144,Meera Iyer 144,Graph Neural Networks for Drug Discovery,"Transformers, Data Analysis, Deep Learning",CNN-based tumor detection system,"Graph Neural Networks for Drug Discovery. Expertise in Transformers, Data Analysis, Deep Learning. Published work on CNN-based tumor detection system."
145,Sneha Kapoor 145,Reinforcement Learning for Robotics,"Scikit-Learn, FastAPI, HuggingFace",AI-driven climate prediction models,"Reinforcement Learning for Robotics. Expertise in Scikit-Learn, FastAPI, HuggingFace. Published work on AI-driven climate prediction models."
146,Ananya Gupta 146,Financial Fraud Detection using AI,"HuggingFace, Scikit-Learn, TensorFlow",Graph neural networks for drug discovery,"Financial Fraud Detection using AI. Expertise in HuggingFace, Scikit-Learn, TensorFlow. Published work on Graph neural networks for drug discovery."
147,Kabir Verma 147,Computer Vision for Medical Imaging,"Python, TensorFlow, Transformers",Semantic search engine for academic research,"Computer Vision for Medical Imaging. Expertise in Python, TensorFlow, Transformers. Published work on Semantic search engine for academic research."
148,Priya Menon 148,AI for Climate Change Modeling,"PyTorch, Deep Learning, Transformers",AI-driven climate prediction models,"AI for Climate Change Modeling. Expertise in PyTorch, Deep Learning, Transformers. Published work on AI-driven climate prediction models."
149,Vivaan Malhotra 149,Financial Fraud Detection using AI,"Machine Learning, Deep Learning, Scikit-Learn",CNN-based tumor detection system,"Financial Fraud Detection using AI. Expertise in Machine Learning, Deep Learning, Scikit-Learn. Published work on CNN-based tumor detection system."
150,Meera Iyer 150,Cybersecurity using Machine Learning,"Data Analysis, Vector Databases, FastAPI",Graph neural networks for drug discovery,"Cybersecurity using Machine Learning. Expertise in Data Analysis, Vector Databases, FastAPI. Published work on Graph neural networks for drug discovery."
151,Aarav Sharma 151,Computer Vision for Medical Imaging,"HuggingFace, Scikit-Learn, FastAPI",Semantic search engine for academic research,"Computer Vision for Medical Imaging. Expertise in HuggingFace, Scikit-Learn, FastAPI. Published work on Semantic search engine for academic research."
152,Aarav Sharma 152,Reinforcement Learning for Robotics,"FastAPI, Python, TensorFlow",Financial anomaly detection system,"Reinforcement Learning for Robotics. Expertise in FastAPI, Python, TensorFlow. Published work on Financial anomaly detection system."
153,Rahul Khanna 153,Reinforcement Learning for Robotics,"TensorFlow, FastAPI, LangChain",Financial anomaly detection system,"Reinforcement Learning for Robotics. Expertise in TensorFlow, FastAPI, LangChain. Published work on Financial anomaly detection system."
154,Rohan Singh 154,AI for Climate Change Modeling,"Vector Databases, LangChain, Data Analysis",Explainable AI for clinical diagnostics,"AI for Climate Change Modeling. Expertise in Vector Databases, LangChain, Data Analysis. Published work on Explainable AI for clinical diagnostics."
155,Ananya Gupta 155,Healthcare AI and Clinical Decision Systems,"Vector Databases, LangChain, Deep Learning",Graph neural networks for drug discovery,"Healthcare AI and Clinical Decision Systems. Expertise in Vector Databases, LangChain, Deep Learning. Published work on Graph neural networks for drug discovery."
156,Kunal Mehta 156,Financial Fraud Detection using AI,"Python, Deep Learning, PyTorch",Explainable AI for clinical diagnostics,"Financial Fraud Detection using AI. Expertise in Python, Deep Learning, PyTorch. Published work on Explainable AI for clinical diagnostics."
157,Vivaan Malhotra 157,Explainable AI in Healthcare,"PyTorch, LangChain, Machine Learning",Transformer models for medical text analysis,"Explainable AI in Healthcare. Expertise in PyTorch, LangChain, Machine Learning. Published work on Transformer models for medical text analysis."
158,Rahul Khanna 158,Cybersecurity using Machine Learning,"Python, HuggingFace, Machine Learning",Explainable AI for clinical diagnostics,"Cybersecurity using Machine Learning. Expertise in Python, HuggingFace, Machine Learning. Published work on Explainable AI for clinical diagnostics."
159,Neha Joshi 159,AI for Climate Change Modeling,"Python, HuggingFace, Transformers",Multi-agent reinforcement learning framework,"AI for Climate Change Modeling. Expertise in Python, HuggingFace, Transformers. Published work on Multi-agent reinforcement learning framework."
160,Kabir Verma 160,Reinforcement Learning for Robotics,"Deep Learning, Data Analysis, PyTorch",Transformer models for medical text analysis,"Reinforcement Learning for Robotics. Expertise in Deep Learning, Data Analysis, PyTorch. Published work on Transformer models for medical text analysis."
161,Sneha Kapoor 161,Healthcare AI and Clinical Decision Systems,"Transformers, Machine Learning, Python",Multi-agent reinforcement learning framework,"Healthcare AI and Clinical Decision Systems. Expertise in Transformers, Machine Learning, Python. Published work on Multi-agent reinforcement learning framework."
162,Ritika Desai 162,Computer Vision for Medical Imaging,"HuggingFace, PyTorch, Deep Learning",CNN-based tumor detection system,"Computer Vision for Medical Imaging. Expertise in HuggingFace, PyTorch, Deep Learning. Published work on CNN-based tumor detection system."
163,Kabir Verma 163,AI for Climate Change Modeling,"Data Analysis, Transformers, Machine Learning",Graph neural networks for drug discovery,"AI for Climate Change Modeling. Expertise in Data Analysis, Transformers, Machine Learning. Published work on Graph neural networks for drug discovery."
164,Ritika Desai 164,AI for Climate Change Modeling,"Deep Learning, HuggingFace, Data Analysis",Multi-agent reinforcement learning framework,"AI for Climate Change Modeling. Expertise in Deep Learning, HuggingFace, Data Analysis. Published work on Multi-agent reinforcement learning framework."
165,Kabir Verma 165,Cybersecurity using Machine Learning,"HuggingFace, FastAPI, Machine Learning",RAG-based conversational AI framework,"Cybersecurity using Machine Learning. Expertise in HuggingFace, FastAPI, Machine Learning. Published work on RAG-based conversational AI framework."
166,Rohan Singh 166,Reinforcement Learning for Robotics,"LangChain, Vector Databases, Machine Learning",Graph neural networks for drug discovery,"Reinforcement Learning for Robotics. Expertise in LangChain, Vector Databases, Machine Learning. Published work on Graph neural networks for drug discovery."
167,Aarav Sharma 167,Reinforcement Learning for Robotics,"Data Analysis, Transformers, FastAPI",Semantic search engine for academic research,"Reinforcement Learning for Robotics. Expertise in Data Analysis, Transformers, FastAPI. Published work on Semantic search engine for academic research."
168,Neha Joshi 168,Healthcare AI and Clinical Decision Systems,"Deep Learning, Machine Learning, Data Analysis",Explainable AI for clinical diagnostics,"Healthcare AI and Clinical Decision Systems. Expertise in Deep Learning, Machine Learning, Data Analysis. Published work on Explainable AI for clinical diagnostics."
169,Arjun Patel 169,Financial Fraud Detection using AI,"Machine Learning, LangChain, Deep Learning",Explainable AI for clinical diagnostics,"Financial Fraud Detection using AI. Expertise in Machine Learning, LangChain, Deep Learning. Published work on Explainable AI for clinical diagnostics."
170,Aditya Nair 170,Graph Neural Networks for Drug Discovery,"FastAPI, LangChain, HuggingFace",AI-driven climate prediction models,"Graph Neural Networks for Drug Discovery. Expertise in FastAPI, LangChain, HuggingFace. Published work on AI-driven climate prediction models."
171,Meera Iyer 171,Explainable AI in Healthcare,"Data Analysis, Deep Learning, LangChain",AI-driven climate prediction models,"Explainable AI in Healthcare. Expertise in Data Analysis, Deep Learning, LangChain. Published work on AI-driven climate prediction models."
172,Kabir Verma 172,AI for Climate Change Modeling,"Python, TensorFlow, Machine Learning",Semantic search engine for academic research,"AI for Climate Change Modeling. Expertise in Python, TensorFlow, Machine Learning. Published work on Semantic search engine for academic research."
173,Arjun Patel 173,Computer Vision for Medical Imaging,"Deep Learning, PyTorch, Machine Learning",Financial anomaly detection system,"Computer Vision for Medical Imaging. Expertise in Deep Learning, PyTorch, Machine Learning. Published work on Financial anomaly detection system."
174,Aarav Sharma 174,Healthcare AI and Clinical Decision Systems,"LangChain, Scikit-Learn, TensorFlow",CNN-based tumor detection system,"Healthcare AI and Clinical Decision Systems. Expertise in LangChain, Scikit-Learn, TensorFlow. Published work on CNN-based tumor detection system."
175,Neha Joshi 175,Reinforcement Learning for Robotics,"Vector Databases, FastAPI, LangChain",CNN-based tumor detection system,"Reinforcement Learning for Robotics. Expertise in Vector Databases, FastAPI, LangChain. Published work on CNN-based tumor detection system."
176,Arjun Patel 176,Financial Fraud Detection using AI,"LangChain, Vector Databases, Deep Learning",Multi-agent reinforcement learning framework,"Financial Fraud Detection using AI. Expertise in LangChain, Vector Databases, Deep Learning. Published work on Multi-agent reinforcement learning framework."
177,Meera Iyer 177,Autonomous Systems and Self Driving Cars,"PyTorch, HuggingFace, Transformers",Bias detection in large language models,"Autonomous Systems and Self Driving Cars. Expertise in PyTorch, HuggingFace, Transformers. Published work on Bias detection in large language models."
178,Rohan Singh 178,Cybersecurity using Machine Learning,"PyTorch, Scikit-Learn, Data Analysis",Financial anomaly detection system,"Cybersecurity using Machine Learning. Expertise in PyTorch, Scikit-Learn, Data Analysis. Published work on Financial anomaly detection system."
179,Ishita Rao 179,Reinforcement Learning for Robotics,"Python, Data Analysis, Vector Databases",Transformer models for medical text analysis,"Reinforcement Learning for Robotics. Expertise in Python, Data Analysis, Vector Databases. Published work on Transformer models for medical text analysis."
180,Priya Menon 180,Explainable AI in Healthcare,"Vector Databases, LangChain, TensorFlow",Bias detection in large language models,"Explainable AI in Healthcare. Expertise in Vector Databases, LangChain, TensorFlow. Published work on Bias detection in large language models."
181,Ritika Desai 181,Autonomous Systems and Self Driving Cars,"Scikit-Learn, TensorFlow, Data Analysis",RAG-based conversational AI framework,"Autonomous Systems and Self Driving Cars. Expertise in Scikit-Learn, TensorFlow, Data Analysis. Published work on RAG-based conversational AI framework."
182,Rohan Singh 182,Autonomous Systems and Self Driving Cars,"LangChain, FastAPI, HuggingFace",Financial anomaly detection system,"Autonomous Systems and Self Driving Cars. Expertise in LangChain, FastAPI, HuggingFace. Published work on Financial anomaly detection system."
183,Kabir Verma 183,Graph Neural Networks for Drug Discovery,"Deep Learning, Scikit-Learn, Transformers",Financial anomaly detection system,"Graph Neural Networks for Drug Discovery. Expertise in Deep Learning, Scikit-Learn, Transformers. Published work on Financial anomaly detection system."
184,Vivaan Malhotra 184,Natural Language Processing and Large Language Models,"Deep Learning, Transformers, Machine Learning",RAG-based conversational AI framework,"Natural Language Processing and Large Language Models. Expertise in Deep Learning, Transformers, Machine Learning. Published work on RAG-based conversational AI framework."
185,Rohan Singh 185,AI for Climate Change Modeling,"Vector Databases, FastAPI, Transformers",AI-driven climate prediction models,"AI for Climate Change Modeling. Expertise in Vector Databases, FastAPI, Transformers. Published work on AI-driven climate prediction models."
186,Vivaan Malhotra 186,AI for Climate Change Modeling,"Transformers, HuggingFace, LangChain",Financial anomaly detection system,"AI for Climate Change Modeling. Expertise in Transformers, HuggingFace, LangChain. Published work on Financial anomaly detection system."
187,Ananya Gupta 187,Graph Neural Networks for Drug Discovery,"LangChain, FastAPI, Vector Databases",Semantic search engine for academic research,"Graph Neural Networks for Drug Discovery. Expertise in LangChain, FastAPI, Vector Databases. Published work on Semantic search engine for academic research."
188,Priya Menon 188,Reinforcement Learning for Robotics,"Python, Scikit-Learn, LangChain",Graph neural networks for drug discovery,"Reinforcement Learning for Robotics. Expertise in Python, Scikit-Learn, LangChain. Published work on Graph neural networks for drug discovery."
189,Aarav Sharma 189,Autonomous Systems and Self Driving Cars,"Scikit-Learn, Python, FastAPI",Financial anomaly detection system,"Autonomous Systems and Self Driving Cars. Expertise in Scikit-Learn, Python, FastAPI. Published work on Financial anomaly detection system."
190,Priya Menon 190,Graph Neural Networks for Drug Discovery,"FastAPI, Vector Databases, HuggingFace",Bias detection in large language models,"Graph Neural Networks for Drug Discovery. Expertise in FastAPI, Vector Databases, HuggingFace. Published work on Bias detection in large language models."
191,Vivaan Malhotra 191,Healthcare AI and Clinical Decision Systems,"Scikit-Learn, PyTorch, Python",Graph neural networks for drug discovery,"Healthcare AI and Clinical Decision Systems. Expertise in Scikit-Learn, PyTorch, Python. Published work on Graph neural networks for drug discovery."
192,Rahul Khanna 192,Natural Language Processing and Large Language Models,"FastAPI, Vector Databases, TensorFlow",CNN-based tumor detection system,"Natural Language Processing and Large Language Models. Expertise in FastAPI, Vector Databases, TensorFlow. Published work on CNN-based tumor detection system."
193,Priya Menon 193,Explainable AI in Healthcare,"Data Analysis, LangChain, TensorFlow",Bias detection in large language models,"Explainable AI in Healthcare. Expertise in Data Analysis, LangChain, TensorFlow. Published work on Bias detection in large language models."
194,Kabir Verma 194,Financial Fraud Detection using AI,"Vector Databases, Machine Learning, Scikit-Learn",Graph neural networks for drug discovery,"Financial Fraud Detection using AI. Expertise in Vector Databases, Machine Learning, Scikit-Learn. Published work on Graph neural networks for drug discovery."
195,Ishita Rao 195,Reinforcement Learning for Robotics,"Deep Learning, Transformers, Vector Databases",CNN-based tumor detection system,"Reinforcement Learning for Robotics. Expertise in Deep Learning, Transformers, Vector Databases. Published work on CNN-based tumor detection system."
196,Rahul Khanna 196,Computer Vision for Medical Imaging,"TensorFlow, HuggingFace, LangChain",Multi-agent reinforcement learning framework,"Computer Vision for Medical Imaging. Expertise in TensorFlow, HuggingFace, LangChain. Published work on Multi-agent reinforcement learning framework."
197,Diya Sethi 197,Computer Vision for Medical Imaging,"LangChain, Python, Transformers",Multi-agent reinforcement learning framework,"Computer Vision for Medical Imaging. Expertise in LangChain, Python, Transformers. Published work on Multi-agent reinforcement learning framework."
198,Ananya Gupta 198,AI for Climate Change Modeling,"Vector Databases, Scikit-Learn, Transformers",Semantic search engine for academic research,"AI for Climate Change Modeling. Expertise in Vector Databases, Scikit-Learn, Transformers. Published work on Semantic search engine for academic research."
199,Kunal Mehta 199,Explainable AI in Healthcare,"PyTorch, Scikit-Learn, HuggingFace",Financial anomaly detection system,"Explainable AI in Healthcare. Expertise in PyTorch, Scikit-Learn, HuggingFace. Published work on Financial anomaly detection system."
200,Aarav Sharma 200,Autonomous Systems and Self Driving Cars,"Machine Learning, Vector Databases, FastAPI",Bias detection in large language models,"Autonomous Systems and Self Driving Cars. Expertise in Machine Learning, Vector Databases, FastAPI. Published work on Bias detection in large language models."
